,Source Account,Text,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
68,BBC News (World),Mexico's Popocatépetl volcano spews ash high into the sky https://t.co/iYESDgTIgj,Tue Jul 31 15:27:59 +0000 2018,0.0,0.0,1.0,0.0,69
69,BBC News (World),Missing Malaysia flight MH370: Aviation chief quits over failings https://t.co/HMDmiqj3OJ,Tue Jul 31 14:37:16 +0000 2018,-0.66,0.0,0.597,0.403,70
70,BBC News (World),"RT @BBCNews: #HappyBirthdayHarryPotter!

This is how the boy wizard enchanted the world https://t.co/IUE40g5UtA https://t.co/nQQb1kjkMf",Tue Jul 31 14:35:40 +0000 2018,0.439,0.182,0.818,0.0,71
71,BBC News (World),Alaska Airlines: Gay man accuses company of discrimination https://t.co/37IMMxZbue,Tue Jul 31 13:38:57 +0000 2018,-0.34,0.0,0.769,0.231,72
72,BBC News (World),Slovakia alarmed by pro-Putin Night Wolves bikers' base https://t.co/xkes4ataUX,Tue Jul 31 13:26:28 +0000 2018,-0.34,0.0,0.769,0.231,73
73,BBC News (World),'Bigfoot erotica' row turns Virginia congressional race ugly https://t.co/pdYtm6gON8,Tue Jul 31 13:06:21 +0000 2018,-0.511,0.0,0.708,0.292,74
74,BBC News (World),German heatwave causes beer bottle shortage as sales surge https://t.co/62E1UN4pIv,Tue Jul 31 12:53:23 +0000 2018,-0.25,0.0,0.818,0.182,75
75,BBC News (World),Did MI5 miss chance to catch Manchester Arena bomber Salman Abedi? https://t.co/u7PPXhALlv,Tue Jul 31 12:46:06 +0000 2018,0.103,0.147,0.735,0.118,76
76,BBC News (World),Romanian police confiscate anti-government number plates https://t.co/nfC81DCEZ1,Tue Jul 31 12:36:38 +0000 2018,0.077,0.178,0.822,0.0,77
77,BBC News (World),Düsseldorf neo-Nazi attack: Defendant acquitted of bomb blast https://t.co/J4AssUv1gj,Tue Jul 31 12:33:58 +0000 2018,-0.649,0.14,0.42,0.441,78
78,BBC News (World),Iranians criticise Trump's offer of talks https://t.co/NjlnmBuHcU,Tue Jul 31 12:23:52 +0000 2018,-0.44,0.0,0.674,0.326,79
79,BBC News (World),Italian athlete Osakue fears climate of violence after attack https://t.co/QBjyCyfn2V,Tue Jul 31 12:08:32 +0000 2018,-0.875,0.0,0.412,0.588,80
80,BBC News (World),Stranded Russian climber rescued after six-day ordeal in Pakistan https://t.co/oi8qbSW2yj,Tue Jul 31 12:01:26 +0000 2018,0.422,0.237,0.763,0.0,81
81,BBC News (World),Kenya's Tourism Minister sorry for saying 'go to hell' https://t.co/rj3SDevE6f,Tue Jul 31 11:24:12 +0000 2018,-0.71,0.0,0.576,0.424,82
82,BBC News (World),Colombia shoot-out kills eight in area hit by rebel feud https://t.co/IgOq5ouXWL,Tue Jul 31 10:52:03 +0000 2018,-0.758,0.0,0.516,0.484,83
83,BBC News (World),Dareen Tatour: Israeli Arab poet sentenced for incitement https://t.co/6GLhP5wyDF,Tue Jul 31 10:42:08 +0000 2018,-0.026,0.0,0.879,0.121,84
84,BBC News (World),Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,Tue Jul 31 10:21:49 +0000 2018,0.818,0.517,0.483,0.0,85
